time(s),temp_rise(℃）
1,1.45
2,1.3
3,1.3
4,1.3
5,1.3
6,1.45
7,1.65
8,1.9
9,2.2
10,2.55
11,2.85
12,3.2
13,3.65
14,4.05
15,4.45
16,4.9
17,5.45
18,5.85
19,6.35
20,6.8
21,7.15
22,7.45
23,7.85
24,8.25
25,8.6
26,9.3
27,9.8
28,10.15
29,10.6
30,10.9
31,11.25
32,11.5
33,11.85
34,12.2
35,12.6
36,12.85
37,13.1
38,13.45
39,13.7
40,13.95
41,14.35
42,14.65
43,15.05
44,15.55
45,16.1
46,16.55
47,17.05
48,17.65
49,18.15
50,18.5
51,18.8
52,18.9
53,19
54,19.1
55,19.45
56,19.5
57,19.55
58,19.75
59,20.35
60,20.65
61,20.9
62,21
63,21.4
64,21.65
65,21.9
66,22.15
67,22.5
68,22.95
69,23.4
70,23.65
71,24.1
72,24
73,24.05
74,24.1
75,24.25
76,24.15
77,23.85
78,23.4
79,22.9
80,22.85
81,23.2
82,23.55
83,24
84,24.1
85,24.15
86,24.55
87,24.65
88,24.55
89,24.55
90,24.55
91,24.25
92,24.2
93,24.35
94,24.5
95,24.4
96,24.7
97,24.9
98,25
99,25
100,25.15
101,25.15
102,25.25
103,25.35
104,25.4
105,25.45
106,25.6
107,25.75
108,25.7
109,25.6
110,25.5
111,25.45
112,25.7
113,25.9
114,26
115,26.25
116,26.4
117,26.7
118,26.8
119,26.75
120,26.6
121,26.75
122,26.6
123,26.7
124,26.75
125,26.85
126,26.7
127,26.6
128,26.6
129,26.5
130,26.45
131,26.35
132,26.6
133,26.5
134,26.4
135,26.25
136,26.2
137,26.3
138,26.45
139,26.45
140,26.65
141,26.75
142,26.7
143,26.9
144,27
145,27.1
146,27.3
147,27.15
148,27.05
149,27
150,27.1
151,26.95
152,26.8
153,27
154,27.1
155,27.3
156,27.3
157,27.5
158,27.4
159,27.6
160,27.5
161,27.5
162,27.6
163,27.65
164,27.65
165,27.85
166,27.75
167,27.85
168,27.7
169,27.75
170,27.9
171,28.2
172,28.5
173,28.75
174,28.9
175,28.85
176,28.9
177,28.6
178,28.2
179,28.1
180,28.25
181,28.1
182,27.8
183,28
184,27.65
185,27.35
186,27.4
187,27.65
188,27.8
189,27.6
190,27.6
191,27.5
192,27.35
193,27.35
194,27.4
195,27.4
196,27.4
197,27.4
198,27.75
199,28.15
200,28.35
201,28.45
202,28.85
203,29.05
204,29.05
205,29.2
206,29.35
207,29.45
208,29.25
209,29.35
210,29.3
211,29.35
212,29.5
213,29.6
214,29.8
215,30.2
216,30.4
217,30.4
218,30.75
219,30.8
220,30.9
221,30.9
222,31
223,30.95
224,30.95
225,30.85
226,30.75
227,30.85
228,30.9
229,31
230,31
231,31.15
232,31.15
233,31.2
234,31.3
235,31.35
236,31.4
237,31.6
238,31.85
239,31.9
240,32
241,31.95
242,32.05
243,32.15
244,32.15
245,32.1
246,32
247,32.05
248,32
249,31.9
250,31.8
251,31.4
252,31.3
253,31.4
254,31.4
255,31.3
256,31.2
257,30.7
258,30.45
259,30.35
260,30.05
261,29.7
262,29.55
263,29.6
264,29.35
265,29.25
266,29.35
267,29.35
268,29.3
269,29.2
270,29.2
271,28.95
272,28.7
273,28.5
274,28.4
275,28.1
276,28
277,28.05
278,28.1
279,28.2
280,28.2
281,28.4
282,28.4
283,28.45
284,28.55
285,28.65
286,28.65
287,28.7
288,28.65
289,28.65
290,28.8
291,28.9
292,28.9
293,28.9
294,28.75
295,28.75
296,28.6
297,28.45
298,28.35
299,28.35
300,28.2
301,27.95
302,27.95
303,28.2
304,28.15
305,27.9
306,28
307,28.3
308,28.4
309,28.6
310,28.85
311,29.15
312,29.3
313,29.15
