time(s),temp_rise(℃）
5,0
6,0
7,0.1
8,0.2
9,0.2
10,0.3
11,0.4
12,0.5
13,0.6
14,0.7
15,0.8
16,0.9
17,1
18,1.1
19,1.2
20,1.3
21,1.4
22,1.5
23,1.6
24,1.7
25,1.8
26,1.8
27,1.9
28,2
29,2.1
30,2.2
31,2.3
32,2.3
33,2.4
34,2.5
35,2.6
36,2.6
37,2.7
38,2.8
39,2.8
40,3
41,3
42,3.1
43,3.2
44,3.2
45,3.3
46,3.3
47,3.3
48,3.4
49,3.4
50,3.5
51,3.6
52,3.7
53,3.8
54,3.9
55,3.9
56,4
57,4
58,4
59,4
60,4
61,4.1
62,4.1
63,4.2
64,4.2
65,4.3
66,4.4
67,4.4
68,4.5
69,4.5
70,4.6
71,4.6
72,4.7
73,4.8
74,4.9
75,4.9
76,4.9
77,4.9
78,5
79,5.1
80,5.2
81,5.2
82,5.2
83,5.2
84,5.2
85,5.2
86,5.2
87,5.3
88,5.3
89,5.4
90,5.5
91,5.5
92,5.5
93,5.5
94,5.6
95,5.5
96,5.6
97,5.6
98,5.6
99,5.6
100,5.6
101,5.7
102,5.7
103,5.7
104,5.8
105,5.8
106,5.8
107,5.9
108,5.9
109,5.9
110,5.9
111,5.9
112,5.9
113,5.9
114,5.9
115,5.9
116,5.9
117,5.8
118,5.8
119,5.8
120,5.8
121,5.8
122,5.7
123,5.7
124,5.7
125,5.7
126,5.7
127,5.6
128,5.5
129,5.6
130,5.6
131,5.7
132,5.7
133,5.8
134,5.7
135,5.7
136,5.7
137,5.8
138,5.8
139,5.8
140,5.9
141,5.9
142,5.9
143,6
144,6.1
145,6.1
146,6.1
147,6
148,6.1
149,6.1
150,6.1
151,6
152,6
153,6
154,6
155,6
156,6
157,6.1
158,6.1
159,6.1
160,6.2
161,6.2
162,6.2
163,6.2
164,6.2
165,6.2
166,6.2
167,6.3
168,6.3
169,6.3
170,6.3
171,6.4
172,6.4
173,6.4
174,6.4
175,6.4
176,6.5
177,6.5
178,6.5
179,6.5
180,6.5
181,6.5
182,6.5
183,6.5
184,6.4
185,6.4
186,6.4
187,6.4
188,6.4
189,6.4
190,6.4
191,6.4
192,6.3
193,6.4
194,6.4
195,6.3
196,6.4
197,6.4
198,6.5
199,6.5
200,6.6
201,6.6
202,6.6
203,6.6
204,6.7
205,6.7
206,6.7
207,6.7
208,6.7
209,6.7
210,6.7
211,6.6
212,6.6
213,6.8
214,6.7
215,6.8
216,6.9
217,6.8
218,6.7
219,6.7
220,6.7
221,6.8
222,6.7
223,6.7
224,6.8
225,6.6
226,6.6
227,6.6
228,6.5
229,6.5
230,6.4
231,6.4
232,6.3
233,6.2
234,6.4
235,6.4
236,6.3
237,6.4
238,6.5
239,6.6
240,6.6
241,6.6
242,6.7
243,6.7
244,6.5
245,6.5
246,6.6
247,6.6
248,6.6
249,6.7
250,6.8
251,6.8
252,6.6
253,6.6
254,6.7
255,6.6
256,6.6
257,6.7
258,6.8
259,6.7
260,6.5
261,6.6
262,6.5
263,6.5
264,6.6
265,6.6
266,6.7
267,6.7
268,6.8
269,6.9
270,6.9
271,6.9
272,7
273,6.9
274,6.9
275,6.9
276,6.7
277,6.5
278,6.4
279,6.3
280,6.3
281,6.3
282,6.4
283,6.5
284,6.5
285,6.6
286,6.6
287,6.7
288,6.7
289,6.7
290,6.7
291,6.8
292,6.8
293,6.8
294,6.8
295,6.9
296,7
297,6.9
298,7
299,6.9
300,6.9
301,6.9
302,7
303,7
304,7
305,7
306,7
307,6.9
308,6.9
309,7
310,7
311,7.1
312,7.1
313,7
314,7
315,7
316,7
317,6.9
318,6.9
319,6.9
320,6.8
321,6.7
322,6.7
323,6.8
324,6.7
325,6.6
326,6.6
327,6.4
328,6.4
329,6.4
330,6.5
331,6.6
332,6.5
333,6.5
334,6.6
335,6.6
336,6.7
337,6.8
338,6.8
339,6.9
340,6.9
341,7
342,7
343,7.1
344,7
345,7.1
346,7.1
347,7.1
348,7
349,7.1
350,7
351,6.9
352,6.9
353,6.9
354,7
355,7.1
356,7
357,7.1
358,7
359,7
360,7.1
361,7
362,7.1
363,7
364,7.1
365,7.2
366,7.2
367,7.2
368,7.2
369,7.2
370,7.3
371,7.3
372,7.3
373,7.2
374,7.3
375,7.3
376,7.3
377,7.3
378,7.3
379,7.3
380,7.1
381,7
382,6.8
383,6.8
384,6.8
385,6.7
386,6.7
387,6.8
388,6.9
389,6.9
390,6.8
391,6.8
392,6.7
393,6.7
394,6.6
395,6.6
396,6.6
397,6.6
398,6.6
399,6.6
400,6.5
401,6.4
402,6.4
403,6.4
404,6.5
405,6.5
