time(s),temp_rise(℃）
1,0.7
2,0.7
3,0.8
4,0.9
5,1.3
6,1.7
7,2.2
8,2.8
9,3.4
10,4.1
11,4.9
12,5.8
13,6.6
14,7.4
15,8.3
16,9.3
17,10.3
18,11.2
19,12.2
20,13.2
21,14.1
22,15
23,16.1
24,17.1
25,18.1
26,19
27,19.9
28,20.8
29,21.7
30,22.5
31,23.3
32,24.2
33,25
34,25.7
35,26.7
36,27.6
37,28.4
38,29.3
39,30.2
40,31
41,31.8
42,32.5
43,33.2
44,33.9
45,34.5
46,35.1
47,35.8
48,36.5
49,37
50,37.6
51,38.1
52,38.6
53,39.3
54,39.9
55,40.5
56,41.1
57,41.7
58,42.3
59,42.9
60,43.3
61,43.9
62,44.2
63,44.6
64,45
65,45.3
66,45.8
67,46
68,46.5
69,47.1
70,47.5
71,47.8
72,48.3
73,48.6
74,49
75,49.3
76,49.6
77,49.9
78,50.3
79,50.5
80,50.9
81,50.7
82,50.9
83,51.1
84,51.1
85,51.3
86,51.5
87,51.8
88,52.2
89,52.6
90,52.9
91,53.4
92,53.7
93,53.9
94,53.9
95,54
96,54.2
97,54.3
98,54.7
99,55.1
100,55.6
101,56.1
102,56.4
103,56.6
104,56.9
105,56.9
106,57.1
107,57.1
108,56.9
109,57.2
110,57.4
111,57.5
112,57.7
113,57.8
114,57.9
115,58
116,58.1
117,58.3
118,58.5
119,58.7
120,59
121,59.3
122,59.5
123,59.8
124,59.9
125,59.9
126,59.9
127,59.9
128,59.8
129,60
130,60.3
131,60.7
132,61
133,61
134,61
135,61.2
136,61.5
137,61.7
138,62
139,62
140,61.6
141,61.5
142,61.7
143,61.7
144,61.7
145,61.6
146,61.6
147,61.5
148,61.6
149,61.5
150,61.7
151,61.8
152,62.2
153,62.4
154,62.4
155,62.4
156,62.5
157,62.2
158,62.5
159,62.2
160,62.4
161,62.4
162,62.4
163,62.4
164,62.7
165,62.7
166,63
167,63.1
168,63.2
169,62.9
170,63
171,63.2
172,63.3
173,63.1
174,63.3
175,63.2
176,63.3
177,63.5
178,63.5
179,63.5
180,63.5
181,63.6
182,63.3
183,63
184,62.9
185,62.7
186,62.7
187,62.9
188,63.1
189,63.3
190,63.5
191,63.5
192,63.5
193,63.5
194,63.7
195,63.8
196,63.8
197,63.8
198,63.8
199,63.5
200,63.6
201,63.7
202,63.8
203,63.9
204,64
205,63.9
206,64
207,64.2
208,64.2
209,64.2
210,64.3
211,64.3
212,64.3
213,64.5
214,64.6
215,64.5
216,64.5
217,64.5
218,64.2
219,64.2
220,64
221,64.4
222,64.7
223,64.6
224,64.6
225,64.7
226,64.8
227,64.7
228,64.9
229,65.1
230,65
231,64.7
232,64.7
233,65
234,65.2
