time(s),temp_rise(℃）
1,-0.3
2,-0.4
3,-0.4
4,-0.4
5,-0.5
6,-0.5
7,-0.5
8,-0.5
9,-0.4
10,-0.4
11,-0.35
12,-0.3
13,-0.15
14,0.05
15,0.15
16,0.5
17,0.7
18,0.95
19,1.2
20,1.35
21,1.6
22,1.75
23,1.95
24,2.15
25,2.45
26,2.65
27,2.9
28,3.1
29,3.3
30,3.45
31,3.75
32,3.95
33,4.1
34,4.35
35,4.6
36,4.75
37,4.95
38,5.1
39,5.2
40,5.3
41,5.45
42,5.7
43,5.9
44,6
45,6.2
46,6.3
47,6.4
48,6.65
49,6.8
50,6.95
51,7.05
52,7.2
53,7.3
54,7.45
55,7.65
56,7.8
57,7.9
58,8
59,8.1
60,8.25
61,8.35
62,8.45
63,8.7
64,8.85
65,8.95
66,9.05
67,9.15
68,9.2
69,9.35
70,9.4
71,9.5
72,9.55
73,9.8
74,9.95
75,10.1
76,10.15
77,10.25
78,10.35
79,10.45
80,10.65
81,10.8
82,10.8
83,10.85
84,10.85
85,10.9
86,11
87,11.05
88,11.1
89,11.15
90,11.1
91,11.15
92,11.25
93,11.25
94,11.15
95,11.2
96,11.2
97,11.3
98,11.3
99,11.4
100,11.45
101,11.5
102,11.5
103,11.55
104,11.7
105,11.7
106,11.75
107,11.8
108,11.85
109,11.95
110,12.05
111,12.05
112,12.1
113,12.2
114,12.3
115,12.3
116,12.45
117,12.6
118,12.65
119,12.7
120,12.65
121,12.65
122,12.7
123,12.7
124,12.7
125,12.8
126,12.85
127,12.9
128,13
129,13.05
130,13.15
131,13.15
132,13.15
133,13.1
134,13.05
135,13.15
136,13.15
137,13.15
138,13.25
139,13.2
140,13.2
141,13.2
142,13.25
143,13.2
144,13.15
145,13.1
146,13.05
147,13.15
148,13.1
149,13.2
150,13.2
151,13.3
152,13.3
153,13.4
154,13.4
155,13.3
156,13.35
157,13.4
158,13.35
159,13.5
160,13.65
161,13.75
162,13.75
163,13.8
164,13.8
165,13.75
166,13.7
167,13.7
168,13.65
169,13.65
170,13.7
171,13.75
172,13.7
173,13.6
174,13.6
175,13.6
176,13.55
177,13.55
178,13.55
179,13.55
180,13.45
181,13.45
182,13.5
183,13.45
184,13.4
185,13.45
186,13.5
187,13.6
188,13.65
189,13.7
190,13.65
191,13.75
192,13.65
193,13.65
194,13.7
195,13.7
196,13.65
197,13.75
198,13.75
199,13.75
200,13.75
201,13.75
202,13.9
203,13.85
204,13.7
205,13.75
206,13.85
207,13.75
208,13.75
209,13.7
210,13.7
211,13.65
212,13.7
213,13.75
214,13.8
215,13.75
216,13.7
217,13.7
218,13.65
219,13.6
220,13.55
221,13.5
222,13.45
223,13.4
224,13.45
225,13.45
226,13.4
227,13.5
228,13.55
229,13.55
230,13.5
231,13.45
232,13.4
233,13.45
234,13.45
235,13.5
236,13.55
237,13.5
238,13.55
239,13.45
240,13.45
241,13.4
242,13.35
243,13.3
244,13.25
245,13.25
246,13.25
247,13.25
248,13.15
249,12.95
250,13.15
251,13.3
252,13.35
253,13.2
254,12.95
255,12.8
256,12.55
257,12.45
258,12.7
259,13
260,13.1
261,13.1
262,13.3
263,13.35
264,13.35
265,13.4
266,13.4
267,13.4
268,13.45
269,13.5
270,13.55
271,13.5
272,13.5
273,13.4
274,13.35
275,13.35
276,13.45
277,13.5
278,13.5
279,13.5
280,13.55
281,13.55
282,13.65
283,13.8
284,13.85
285,13.85
286,13.75
287,13.7
288,13.65
289,13.65
290,13.7
291,13.7
292,13.7
293,13.7
294,13.8
295,13.85
296,13.9
297,13.9
298,13.9
299,13.9
300,13.9
301,13.9
302,13.85
303,13.85
304,13.75
305,13.75
306,13.8
307,14.05
308,14.05
309,14.1
310,14.05
311,14.1
312,14.05
313,14.05
314,14
315,14.05
316,14.1
317,14.15
318,14.15
319,14.2
320,14.3
321,14.4
322,14.5
323,14.5
324,14.45
325,14.5
326,14.6
327,14.6
328,14.65
329,14.65
330,14.65
331,14.65
332,14.7
333,14.7
334,14.65
335,14.75
336,14.65
337,14.6
338,14.6
339,14.6
340,14.7
341,14.75
342,14.65
343,14.6
344,14.65
345,14.6
346,14.6
347,14.55
348,14.55
349,14.55
350,14.5
351,14.45
352,14.4
353,14.35
354,14.4
355,14.45
356,14.45
357,14.4
358,14.3
359,14.25
360,14.15
361,14.05
362,14.15
363,14.2
364,14.2
365,14.2
366,14.2
