time(s),temp_rise(℃）
1,0.35
2,0.4
3,0.35
4,0.35
5,0.3
6,0.25
7,0.2
8,0.25
9,0.3
10,0.6
11,1.1
12,1.7
13,2.25
14,2.9
15,3.65
16,4.3
17,5.1
18,5.9
19,6.7
20,7.45
21,8.2
22,9.05
23,9.85
24,10.7
25,11.7
26,12.65
27,13.55
28,14.45
29,15.35
30,16.15
31,17
32,17.85
33,18.7
34,19.5
35,20.4
36,21.45
37,22.4
38,23.15
39,23.9
40,24.5
41,25
42,25.6
43,26.25
44,26.95
45,27.75
46,28.55
47,29.05
48,29.5
49,30.1
50,30.75
51,31.5
52,32.15
53,32.85
54,33.45
55,33.95
56,34.45
57,34.9
58,35.3
59,35.75
60,36.15
61,36.65
62,37.15
63,37.55
64,38.05
65,38.9
66,39.75
67,40.25
68,40.5
69,40.7
70,41.15
71,41.7
72,42.3
73,42.55
74,42.7
75,42.95
76,43.2
77,43.35
78,43.7
79,43.9
80,44.1
81,44.4
82,44.85
83,45.5
84,45.95
85,46.25
86,46.55
87,46.9
88,47.1
89,47.4
90,47.8
91,48.3
92,48.55
93,49
94,49.15
95,49.4
96,50.05
97,50.8
98,51.1
99,51.3
100,51.55
101,51.75
102,51.9
103,52.15
104,52.2
105,52.1
106,52.15
107,52.2
108,52.3
109,52.45
110,52.9
111,53.15
112,53.2
113,53.3
114,53.35
115,53.6
116,53.85
117,54.1
118,54.3
119,54.1
120,54.8
121,55.3
122,55.7
123,56.05
124,56.3
125,56.3
126,56.45
127,56.65
128,56.8
129,56.75
130,56.85
131,56.95
132,57.15
133,57.7
134,58.3
135,58.3
136,58.2
137,57.95
138,57.8
139,57.8
140,57.95
141,58.1
142,58.15
143,58.45
144,58.5
145,58.4
146,58.55
147,58.35
148,58.35
149,58.7
150,58.85
151,59.2
152,59.1
153,58.8
154,58.6
155,58.35
156,58.35
157,58.35
158,58.2
159,58
160,57.7
161,57.7
162,57.6
163,57.5
164,57.3
165,57.15
166,57
167,56.85
168,56.75
169,56.6
170,56.6
171,56.3
172,56
173,55.6
174,55.1
175,54.5
176,54
177,53.95
178,54.05
179,54.15
180,54.55
181,54.65
182,55.15
183,54.4
184,53.65
185,52.8
186,52.1
187,51.65
188,51.55
189,51.35
190,51.5
191,51.55
192,52.35
193,53.6
194,54.4
195,54.95
196,55.85
197,55.7
198,55.25
199,54.85
200,54.9
201,55.15
202,55.4
203,55.35
204,55.5
205,56.15
206,56.25
207,56.8
208,57.55
209,57.9
210,58.05
211,58.75
