0,0.5
5,0.5
10,0.5
15,0.5
20,0.5
25,1.3
30,7.3
35,14.4
40,21.7
45,27.8
50,33.7
55,38.7
60,43.4
65,47.9
70,53.4
75,57.7
80,60.2
85,61.1
90,60.8
95,61.4
100,62.1
105,61.7
110,61.2
115,61.7
120,62
125,63
130,63
135,66.3
140,67.7
145,68.4
150,67.7
155,65.4
160,65
165,65.4
170,64.7
175,62.9
180,62.8
185,63.9
190,64.4
195,64.9
200,65
205,65.8
210,67.9
215,71.1
220,72.4
225,73.2
230,74.2
235,74.1
240,72.8
245,74.2
250,70.8
255,68.7
260,68.6
265,69.6
270,70.2
275,68.9
280,69.3
285,69.8
290,75.4
295,76
300,76.9
305,75.3
310,73.6
315,71.8
320,71.7
325,69.2
330,68
335,66.9
340,69.5
345,72.2
350,73.9
355,75.7
360,77
365,77.6
370,77.3
375,77.3
380,77.6
385,77
390,73.8
395,72.9
400,70.3
405,69.6
410,70.3
415,70.5
420,70.1
425,70.3
430,68.1
435,66.8
440,64.3
445,63.8
450,63.8
455,65.4
460,66.9
465,68.5
470,69.2
475,72.3
480,73.8
485,74.7
490,74.5
495,75.1
500,76.7
505,78
510,78.9
515,79.2
520,80.4
525,80.2
530,79.8
535,79.3
540,79.3
545,79.7
550,80.7
555,81.3
560,81.8
565,81.3
570,78.9
575,75.8
580,73
585,70.8
590,69.4
595,70.1
600,72.6
605,73.8
610,74.1
615,73.6
620,73.1
625,73.5
630,73.5
635,72.6
640,74.3
645,75.1
650,75.6
655,76.1
660,76.9
665,76.5
670,75.8
675,74.9
680,73.5
685,72.5
690,70.3
695,68.8
700,67.9
705,68.1
710,68.2
715,68.8
720,68.4
725,68.4
730,70.1
735,73.2
740,74.2
745,74.6
750,76.1
755,76.7
760,77.3
765,77
770,74.4
775,73.4
780,73.7
785,72.4
790,71
795,70.9
800,70.7
805,71.9
810,70.4
815,69.9
820,70.6
825,69.6
830,71.2
835,74.2
840,75.8
845,77.1
850,78
855,79.3
860,78.9
865,77.1
870,76.5
875,76.7
880,76.3
885,76.2
890,76.2
895,76.8
900,67.5
905,61.6
910,59.3
915,60.8
920,62.7
925,60.5
930,60
935,61.1
940,63.1
945,63.7
950,65.5
955,65.8
960,66.7
965,68.5
970,71.9
975,74
980,74.6
985,74.8
990,74.5
995,74.1
1000,73
1005,72.5
1010,72.2
1015,71.4
1020,70.9
1025,69.4
1030,63.3
