,R1,R2,R3,R
0-6A,0.2656,0.3153,0.3099,0.2919
6-10A,0.2733,0.3164,0.3099,0.2958
10-15A,0.3285,0.3244,0.3116,0.3243
15-20A,0.4343,0.3585,0.3376,0.3898
20-25A,0.6129,0.4596,0.4152,0.5226
25-35A,0.8498,0.6729,0.5452,0.7342
