,R1,R2,R3,R
None,0.2787,0.3191,0.3028,0.2982
0-6month,0.2921,0.3249,0.3205,0.3093
6-36month,0.3244,0.3377,0.3407,0.3321
36-60month,0.3314,0.3398,0.3547,0.3382
